GageID, Dryness Index, Evaporative Index, Deviation from Budyko, Snow fraction, Average Daily Temperature (D)
11532500, 0.2716, 0.1984, 0.0556, 0.0157, 11.0379
12027500, 0.3792, 0.277, 0.0671, 0.0213, 10.3203
12098500, 0.3513, 0.3269, -0.0054, 0.3703, 5.4375
12134500, 0.2476, 0.0222, 0.2107, 0.3282, 6.1899
12144500, 0.2634, 0.0083, 0.2386, 0.2103, 6.8467
12149000, 0.2773, 0.0988, 0.1601, 0.1101, 7.9519
12340000, 1.18, 0.6258, 0.1251, 0.4224, 4.5918
12358500, 0.6754, 0.2063, 0.3406, 0.5321, 3.0651
12413000, 0.6578, 0.3586, 0.1782, 0.318, 6.7309
12413500, 0.6442, 0.3605, 0.1684, 0.3107, 6.8533
12449500, 0.7769, 0.5405, 0.0597, 0.5863, 4.7864
12449950, 0.8342, 0.6347, -0.0076, 0.5465, 5.5764
12459000, 0.4207, 0.315, 0.0618, 0.5521, 5.6806
12462500, 0.468, 0.4049, 0.0075, 0.528, 6.0471
13186000, 1.0026, 0.4627, 0.2321, 0.5855, 4.4532
13200000, 0.9351, 0.7081, -0.0385, 0.3597, 7.4842
13298500, 0.9919, 0.5994, 0.0916, 0.6006, 2.5685
13302500, 1.4885, 0.6599, 0.162, 0.4585, 3.4897
13336500, 0.7764, 0.2953, 0.3047, 0.4752, 4.2779
13337000, 0.6003, 0.3229, 0.1793, 0.5157, 4.4175
13340500, 0.5226, 0.3174, 0.1339, 0.5412, 4.8809
13340600, 0.5482, 0.3723, 0.0963, 0.5195, 5.0787
13351000, 1.9003, 0.8549, 0.0282, 0.1679, 8.8318
14080500, 2.553, 0.8693, 0.0676, 0.2721, 6.9868
14101500, 0.9934, 0.5453, 0.1461, 0.2523, 8.2597
14113000, 0.8961, 0.4905, 0.1634, 0.3314, 7.3883
14232500, 0.3324, 0.2976, 0.0083, 0.3107, 7.2584
14233400, 0.3377, 0.196, 0.1142, 0.2673, 7.1153
14308000, 0.6224, 0.3768, 0.139, 0.0889, 9.5315
14321000, 0.5977, 0.4286, 0.072, 0.0364, 10.5829
14359000, 0.8076, 0.5156, 0.0993, 0.1605, 8.7631
