GageID, Dryness Index, Evaporative Index, Deviation from Budyko, Snow fraction, Average Daily Temperature (D)
06334500, 2.5852, 0.9458, -0.0071, 0.175, 7.3545
06340500, 2.3859, 0.9381, -0.0116, 0.1496, 6.481
06359500, 2.7662, 0.9542, -0.0064, 0.1526, 7.2443
06426500, 3.3622, 0.9852, -0.0167, 0.1773, 7.4609
06441500, 2.7688, 0.9522, -0.0043, 0.1317, 8.915
06446000, 2.8534, nan, nan, 0.1351, 8.8456
06454500, 3.0554, 0.9817, -0.0224, 0.159, 7.7105
06480000, 1.8033, 0.947, -0.0758, 0.145, 6.8603
06600500, 1.5196, 0.8464, -0.0187, 0.12, 8.5243
06606600, 1.4102, 0.8064, 0.0001, 0.1226, 8.0892
06607200, 1.3576, 0.7976, -0.0025, 0.1112, 8.6386
06609500, 1.3424, 0.8059, -0.0141, 0.104, 9.1062
06799500, 1.5771, 0.8799, -0.0422, 0.1087, 9.3369
06808500, 1.305, 0.7835, -0.0004, 0.0931, 9.8508
06810000, 1.2737, 0.7853, -0.0098, 0.0912, 10.0566
06811500, 1.3735, 0.8269, -0.0282, 0.0862, 11.0301
06813000, 1.2488, 0.8059, -0.0367, 0.0787, 10.8311
06815000, 1.3555, 0.8041, -0.0094, 0.0713, 11.7124
06817000, 1.2067, 0.7821, -0.0239, 0.0842, 10.2575
06817500, 1.2012, 0.7859, -0.0292, 0.0843, 10.2762
06820500, 1.1857, 0.762, -0.0096, 0.0786, 10.7346
06847000, 2.8249, 0.9925, -0.0421, 0.0989, 11.1559
06860000, 3.474, 0.9951, -0.024, 0.0954, 11.4717
06868000, 2.569, 0.9327, 0.005, 0.0913, 11.9332
06869500, 2.4091, 0.949, -0.021, 0.0831, 12.1486
06883000, 1.861, 0.9225, -0.0441, 0.0861, 10.6648
06884400, 1.6961, 0.8965, -0.0401, 0.0825, 11.0305
06884500, 1.6958, 0.8803, -0.0239, 0.0822, 11.0395
06885500, 1.3879, 0.8254, -0.0236, 0.0681, 11.8371
06888500, 1.3809, 0.769, 0.0313, 0.0616, 12.2257
06890500, 1.2461, 0.8225, -0.054, 0.0591, 12.2986
06892000, 1.1846, 0.7562, -0.004, 0.0563, 12.5002
06894000, 1.1298, 0.6886, 0.0477, 0.0532, 12.8295
06897500, 1.1671, 0.7704, -0.0231, 0.0759, 10.9137
06898000, 1.1829, 0.7798, -0.0281, 0.0909, 10.1906
06899500, 1.1582, 0.7604, -0.0158, 0.0841, 10.5369
06908000, 1.0673, 0.7384, -0.0216, 0.0561, 12.7336
06913500, 1.3133, 0.7766, 0.0084, 0.0555, 12.7379
06914000, 1.2564, 0.7496, 0.0216, 0.0479, 13.3047
06928000, 0.9349, 0.759, -0.0896, 0.0574, 13.082
06933500, 0.9253, 0.6954, -0.0297, 0.0593, 13.0237
